iter	Passed	Remaining
0	145	145440
1	146	73063
2	147	48894
3	147	36818
4	148	29569
5	149	24730
6	149	21275
7	150	18684
8	151	16661
9	151	15037
10	152	13711
11	153	12603
12	153	11666
13	154	10866
14	154	10171
15	155	9564
16	156	9028
17	156	8550
18	157	8120
19	157	7735
20	158	7385
21	159	7071
22	159	6783
23	160	6517
24	160	6274
25	161	6053
26	162	5844
27	162	5650
28	163	5472
29	164	5303
30	164	5145
31	165	4995
32	165	4855
33	166	4724
34	166	4601
35	167	4483
36	168	4372
37	168	4268
38	169	4169
39	169	4074
40	170	3984
41	170	3898
42	171	3816
43	172	3737
44	172	3663
45	173	3591
46	173	3523
47	174	3457
48	174	3394
49	175	3332
50	176	3275
51	176	3220
52	177	3166
53	177	3114
54	178	3063
55	178	3015
56	179	2969
57	180	2924
58	180	2881
59	181	2839
60	181	2798
61	182	2759
62	182	2721
63	183	2684
64	184	2648
65	184	2613
66	185	2579
67	185	2543
68	186	2511
69	186	2480
70	187	2449
71	187	2420
72	188	2391
73	188	2364
74	189	2336
75	190	2310
76	190	2285
77	191	2260
78	191	2236
79	192	2212
80	192	2189
81	193	2167
82	194	2144
83	194	2123
84	195	2100
85	195	2079
86	196	2058
87	196	2039
88	197	2021
89	198	2003
90	198	1985
91	199	1967
92	199	1949
93	200	1932
94	201	1915
95	201	1899
96	202	1882
97	202	1866
98	203	1851
99	203	1835
100	204	1820
101	204	1803
102	205	1789
103	206	1775
104	206	1761
105	207	1748
106	207	1734
107	208	1721
108	208	1708
109	209	1695
110	210	1682
111	210	1669
112	211	1657
113	211	1645
114	212	1633
115	212	1621
116	213	1609
117	213	1598
118	214	1586
119	214	1575
120	215	1564
121	215	1553
122	216	1541
123	216	1531
124	217	1521
125	217	1511
126	218	1501
127	218	1490
128	219	1481
129	219	1472
130	220	1463
131	221	1454
132	221	1446
133	222	1437
134	223	1429
135	223	1420
136	224	1412
137	224	1403
138	225	1394
139	225	1386
140	226	1379
141	226	1371
142	227	1363
143	228	1355
144	228	1348
145	229	1340
146	229	1333
147	230	1326
148	230	1318
149	231	1311
150	232	1304
151	232	1297
152	233	1290
153	233	1283
154	234	1276
155	234	1270
156	235	1263
157	235	1257
158	236	1250
159	237	1244
160	237	1238
161	238	1232
162	238	1226
163	239	1220
164	239	1214
165	240	1208
166	241	1202
167	241	1196
168	242	1191
169	242	1185
170	243	1179
171	243	1174
172	244	1168
173	245	1163
174	245	1158
175	246	1153
176	246	1147
177	247	1142
178	248	1137
179	248	1132
180	248	1126
181	249	1121
182	250	1116
183	250	1111
184	251	1106
185	252	1103
186	252	1098
187	253	1093
188	253	1088
189	254	1083
190	254	1079
191	255	1074
192	255	1069
193	256	1065
194	256	1060
195	257	1056
196	258	1051
197	258	1047
198	259	1043
199	259	1038
200	260	1034
201	260	1030
202	261	1026
203	261	1022
204	262	1017
205	263	1013
206	263	1009
207	264	1005
208	264	1001
209	265	997
210	265	994
211	266	990
212	267	986
213	267	983
214	268	980
215	269	977
216	270	974
217	271	973
218	272	971
219	273	969
220	274	965
221	274	962
222	275	960
223	276	958
224	277	956
225	278	954
226	279	951
227	280	948
228	280	945
229	281	942
230	282	939
231	282	936
232	283	933
233	284	930
234	285	927
235	285	924
236	286	921
237	286	918
238	287	915
239	288	913
240	289	910
241	289	907
242	290	904
243	291	901
244	291	898
245	292	896
246	293	893
247	293	890
248	294	887
249	295	885
250	296	886
251	297	883
252	298	880
253	299	878
254	299	875
255	300	873
256	301	870
257	301	867
258	302	865
259	303	864
260	304	862
261	305	860
262	306	858
263	307	856
264	308	854
265	308	852
266	309	850
267	310	848
268	311	845
269	311	843
270	312	840
271	313	838
272	313	835
273	314	833
274	315	830
275	315	828
276	316	826
277	317	823
278	317	821
279	318	818
280	319	816
281	319	814
282	320	811
283	320	808
284	321	806
285	322	803
286	322	801
287	323	799
288	323	796
289	324	794
290	325	791
291	325	789
292	326	787
293	326	785
294	327	783
295	328	780
296	329	778
297	329	776
298	330	774
299	331	772
300	331	770
301	332	768
302	333	766
303	334	764
304	334	762
305	335	760
306	336	758
307	336	756
308	337	754
309	338	752
310	338	750
311	339	748
312	340	746
313	340	744
314	341	742
315	342	740
316	342	738
317	343	736
318	344	734
319	344	732
320	345	730
321	346	728
322	346	726
323	347	724
324	348	722
325	348	720
326	349	718
327	349	716
328	350	714
329	350	712
330	351	710
331	352	708
332	352	706
333	353	704
334	353	702
335	354	700
336	354	698
337	355	696
338	355	694
339	356	692
340	357	690
341	357	688
342	358	686
343	358	684
344	359	682
345	360	680
346	360	678
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	667
353	364	665
354	365	663
355	365	662
356	366	660
357	367	658
358	367	656
359	368	654
360	368	652
361	369	650
362	369	649
363	370	647
364	371	645
365	371	643
366	372	641
367	372	640
368	373	638
369	374	636
370	374	635
371	375	633
372	375	631
373	376	629
374	376	628
375	377	626
